Title,Link,Website,Emails,Phone Numbers,Social Media Links,Stars,Reviews,Phone
Not found,Not found,Not found,,,,Not found,Not found,Phone Number not found
ROYZZ & Co,https://www.google.com/maps/place/ROYZZ+%26+Co/data=!4m7!3m6!1s0x3be7c823e11eaa65:0x7f5622df68f41398!8m2!3d19.1168938!4d72.864632!16s%2Fg%2F11c6_r9hmz!19sChIJZaoe4SPI5zsRmBP0aN8iVn8?authuser=0&hl=en&rclk=1,http://www.royzz.com/,"info@royzz.com, info@royzz.com","400093, +91 8928274062, 600032, 110001, 401-404, 380054, 400093, +91 8928274062, 110001, 600032, 401-404, 380054","https://www.facebook.com/TechLawyers/, https://www.linkedin.com/company/royzz, https://www.instagram.com/royzzco/?hl=en",4.3,133,Phone Number not found
Law Desk India,https://www.google.com/maps/place/Law+Desk+India/data=!4m7!3m6!1s0x3b080d584ba3c651:0x4d7f9aaf9d545148!8m2!3d9.985482!4d76.273771!16s%2Fg%2F12hmk_x9p!19sChIJUcajS1gNCDsRSFFUna-af00?authuser=0&hl=en&rclk=1,http://www.lawdeskindia.com/,,,,4.8,90,+91 99953 10200
INDIALAW LLP,https://www.google.com/maps/place/INDIALAW+LLP/data=!4m7!3m6!1s0x3be7d1dea38fb905:0x58122c3b0cb0082b!8m2!3d18.9376384!4d72.8326694!16s%2Fg%2F11cnrk27gm!19sChIJBbmPo97R5zsRKwiwDDssElg?authuser=0&hl=en&rclk=1,https://www.indialaw.in/,,"400 001, 022-69247400","https://www.facebook.com/indialawllp/, https://twitter.com/Indialawmumbai, https://www.instagram.com/indialawllp, http://www.linkedin.com/company/indialaw, https://www.facebook.com/indialawllp/, https://twitter.com/Indialawmumbai, https://www.linkedin.com/company/indialaw, https://www.instagram.com/indialawllp",4.4,70,+91 22 2219 740
Cyril Amarchand Mangaldas,https://www.google.com/maps/place/Cyril+Amarchand+Mangaldas/data=!4m7!3m6!1s0x3be7ce8d85955555:0x66df8e0a6f9441c8!8m2!3d18.9990445!4d72.8242791!16s%2Fg%2F11bysjx1gt!19sChIJVVWVhY3O5zsRyEGUbwqO32Y?authuser=0&hl=en&rclk=1,https://www.cyrilshroff.com/,,,"http://www.linkedin.com/company/9488362, http://www.facebook.com/CyrilAmarchand, http://www.youtube.com/channel/UCAZvakJgmyqpopxbY3mfI_A, https://www.instagram.com/cyrilamarchand/, http://www.linkedin.com/company/9488362, http://www.facebook.com/CyrilAmarchand, https://www.youtube.com/channel/UCAZvakJgmyqpopxbY3mfI_A, https://www.instagram.com/cyrilamarchand/, https://www.youtube.com/embed/9kELLAyV5oY, https://www.youtube.com/embed/9kELLAyV5oY, http://www.linkedin.com/company/9488362, http://www.facebook.com/CyrilAmarchand, http://www.youtube.com/channel/UCAZvakJgmyqpopxbY3mfI_A, https://www.instagram.com/cyrilamarchand/",4.5,157,Phone Number not found
Surana & Surana International Attorneys,https://www.google.com/maps/place/Surana+%26+Surana+International+Attorneys/data=!4m7!3m6!1s0x3a526f520fffffff:0x696d2ed30293d755!8m2!3d13.0444284!4d80.2663005!16s%2Fg%2F1tgw3g2r!19sChIJ____D1JvUjoRVdeTAtMubWk?authuser=0&hl=en&rclk=1,http://suranaandsurana.com/,,,,4.5,145,+91 44 2812 000
Shardul Amarchand Mangaldas & Co.,https://www.google.com/maps/place/Shardul+Amarchand+Mangaldas+%26+Co./data=!4m7!3m6!1s0x390d19b1e268e327:0xf6c1df1799a94db4!8m2!3d28.5478273!4d77.2697231!16s%2Fg%2F1vq736sl!19sChIJJ-No4rEZDTkRtE2pmRffwfY?authuser=0&hl=en&rclk=1,http://amsshardul.com/,,"2024
11, 2023
11, 2024
14",https://twitter.com/ams_shardul,4.4,334,+91 11 4060 606
Lakshmikumaran & Sridharan Attorneys,https://www.google.com/maps/place/Lakshmikumaran+%26+Sridharan+Attorneys/data=!4m7!3m6!1s0x3be7cebfebcc4fe7:0xcef53a2461515abb!8m2!3d19.0123131!4d72.8263687!16s%2Fg%2F11b6gh0k_p!19sChIJ50_M67_O5zsRu1pRYSQ69c4?authuser=0&hl=en&rclk=1,https://lakshmisri.com/,,"+91 11 41299800, 1985-2024","https://www.facebook.com/lsipr, https://www.linkedin.com/company/lakshmikumaran-and-sridharan, https://www.youtube.com/channel/UC0SR3Mtz1Vmx3W-UVnSo6mQ",4.6,90,+91 22 2439 250
Tatva Legal Hyderabad,https://www.google.com/maps/place/Tatva+Legal+Hyderabad/data=!4m7!3m6!1s0x3bcb96b48abaf423:0xfb0e289f81b1aadf!8m2!3d17.4203051!4d78.4026794!16s%2Fg%2F1yddd2yzj!19sChIJI_S6irSWyzsR36qxgZ8oDvs?authuser=0&hl=en&rclk=1,Not found,,,,4.3,107,+91 40 2358 100
DHAVAL VUSSONJI & ASSOCIATES,https://www.google.com/maps/place/DHAVAL+VUSSONJI+%26+ASSOCIATES/data=!4m7!3m6!1s0x3be7d1eb93457045:0x469336f3dfc6fa0b!8m2!3d18.9232602!4d72.8230589!16s%2Fg%2F11csqgcy0h!19sChIJRXBFk-vR5zsRC_rG3_M2k0Y?authuser=0&hl=en&rclk=1,https://dvassociates.co.in/,,,"https://www.linkedin.com/company/dhaval-vussonji-&, https://www.linkedin.com/company/dhaval-vussonji-&",4.8,32,+91 22 6662 353
R.K.Dewan & Co.,https://www.google.com/maps/place/R.K.Dewan+%26+Co./data=!4m7!3m6!1s0x3be7d1daffffffff:0xf66147c036884d1b!8m2!3d18.5309451!4d73.8425551!16s%2Fg%2F1th5y830!19sChIJ_____9rR5zsRG02INsBHYfY?authuser=0&hl=en&rclk=1,http://www.rkdewan.com/,,,"https://twitter.com/rk_dewan42, http://www.linkedin.com/company/3079148, https://www.facebook.com/RKDewan, https://www.facebook.com/RKDewan, http://www.linkedin.com/company/3079148, https://twitter.com/rk_dewan42",4.5,108,+91 20 6687 120
Singh Law Firm,https://www.google.com/maps/place/Singh+Law+Firm/data=!4m7!3m6!1s0x3be7d1c479a2709b:0xe082ac2722788598!8m2!3d18.9311727!4d72.8351731!16s%2Fg%2F11g6nh0vw9!19sChIJm3CiecTR5zsRmIV4IiesguA?authuser=0&hl=en&rclk=1,http://singhlawfirm.in/,,"2024-08-31, 124.29.214",,4.9,43,+91 22 6666 422
Crawford Bayley & Co.,https://www.google.com/maps/place/Crawford+Bayley+%26+Co./data=!4m7!3m6!1s0x3be7d1c3551f4d8d:0x685a6ed24a90b1e9!8m2!3d18.9310685!4d72.8347974!16s%2Fg%2F11cn6lw_9y!19sChIJjU0fVcPR5zsR6bGQStJuWmg?authuser=0&hl=en&rclk=1,Not found,,,,4.5,107,+91 22 2266 800
Agama Law Associates,https://www.google.com/maps/place/Agama+Law+Associates/data=!4m7!3m6!1s0x3be7c805af991361:0x28634562216b542f!8m2!3d19.1185544!4d72.8905926!16s%2Fg%2F11b7k8cc9z!19sChIJYROZrwXI5zsRL1RrIWJFYyg?authuser=0&hl=en&rclk=1,http://www.agamalaw.com/,,"2023-24, 2023-24","https://twitter.com/Agama_law, https://www.linkedin.com/organization-guest/company/agama-law-associates?challengeId=AQHtpbSP5wjSKAAAAXNIHUr8QLQNsQPfGWSF19B8JR5l8KvTSYHG0QulTZKh1eQ9IG2PJb1FgZR5f8DBGBRvKpq2N15MDaX0lg&amp",4.9,19,+91 22 4022 912
Anand and Anand,https://www.google.com/maps/place/Anand+and+Anand/data=!4m7!3m6!1s0x390ce446f1555555:0xa8e0c45be9bae696!8m2!3d28.5708313!4d77.3154577!16s%2Fg%2F1tfhxzlf!19sChIJVVVV8UbkDDkRlua66VvE4Kg?authuser=0&hl=en&rclk=1,https://www.anandandanand.com/,"subroto@anandandanand.com, email@anandandanand.com","110 013, 110013, 201301, +91-120-4059300, +91-120-4243056, +91-120-4243058, +91-120-2510020, 110013, 400023, +91-22-22631488, +91-22-22631487, 600020, +91-44-43504228, +91-44-43504232","https://www.linkedin.com/company/anand-and-anand, https://www.linkedin.com/company/anand-and-anand",4.2,215,+91 120 405 9300
CHADHA & CO,https://www.google.com/maps/place/CHADHA+%26+CO/data=!4m7!3m6!1s0x390ce17e64aec9c7:0xd03e31a03b07fcfe!8m2!3d28.5318476!4d77.2455466!16s%2Fg%2F1pv5x574d!19sChIJx8muZH7hDDkR_vwHO6AxPtA?authuser=0&hl=en&rclk=1,http://www.chadha-co.com/,,,,4.5,32,+91 11 4383 000
Mehta & Mehta Associates,https://www.google.com/maps/place/Mehta+%26+Mehta+Associates/data=!4m7!3m6!1s0x390d18e65f1e6a11:0xbcadddae0e4f6287!8m2!3d28.4633226!4d77.0753694!16s%2Fg%2F11c0rn7x7p!19sChIJEWoeX-YYDTkRh2JPDq7drbw?authuser=0&hl=en&rclk=1,http://mehtaip.com/,,,,4.9,65,+91 124 410 8474
Majmudar & Partners - Advocates and Solicitors,https://www.google.com/maps/place/Majmudar+%26+Partners+-+Advocates+and+Solicitors/data=!4m7!3m6!1s0x3be7d1eec6c29159:0xdb5b270c2cd688d8!8m2!3d18.9232473!4d72.8230729!16s%2Fg%2F11bwp1jkcv!19sChIJWZHCxu7R5zsR2IjWLAwnW9s?authuser=0&hl=en&rclk=1,https://www.majmudarindia.com/,,"2024-25, +91 (22) 61237272","https://www.facebook.com/majmudarindia, https://www.linkedin.com/company/majmudarindia/, https://www.facebook.com/majmudarindia, https://www.instagram.com/majmudarindia/, https://twitter.com/MajmudarIndia",4.2,13,+91 22 6123 727
India Law Alliance,https://www.google.com/maps/place/India+Law+Alliance/data=!4m7!3m6!1s0x3be7d1c374ae86b7:0xbbb35a5d869e6404!8m2!3d18.9287506!4d72.8324156!16s%2Fg%2F11byl4jgm0!19sChIJt4audMPR5zsRBGSehl1as7s?authuser=0&hl=en&rclk=1,http://www.indialawalliance.com/,,,,4.7,19,+91 22 2265 283
Abhijit Joshi Veritas Legal,https://www.google.com/maps/place/Abhijit+Joshi+Veritas+Legal/data=!4m7!3m6!1s0x3be7d1dc228a3295:0xb96e8664735b418d!8m2!3d18.936825!4d72.832587!16s%2Fg%2F11bwfjffp4!19sChIJlTKKItzR5zsRjUFbc2SGbrk?authuser=0&hl=en&rclk=1,http://www.veritaslegal.in/,,,https://www.linkedin.com/company/veritas-legal-advocates-and-solicitors/,4.5,39,+91 22 4368 670
"Shrikant Samantara Law Associates Lawyers in Delhi, India for property, immigration, money recovery, and other legal issues.","https://www.google.com/maps/place/Shrikant+Samantara+Law+Associates+Lawyers+in+Delhi,+India+for+property,+immigration,+money+recovery,+and+other+legal+issues./data=!4m7!3m6!1s0x390cfd55c253398b:0xbe9408d3d96348e8!8m2!3d28.6321147!4d77.2273616!16s%2Fg%2F11qbdzv9rq!19sChIJizlTwlX9DDkR6Ehj2dMIlL4?authuser=0&hl=en&rclk=1",Not found,,,,4.9,102,+91 98185 55259
Kochhar & Co. Bangalore,https://www.google.com/maps/place/Kochhar+%26+Co.+Bangalore/data=!4m7!3m6!1s0x3bae16791d418d27:0x2dc09514728b10b4!8m2!3d12.9703032!4d77.600065!16s%2Fg%2F1hc6xjt2d!19sChIJJ41BHXkWrjsRtBCLchSVwC0?authuser=0&hl=en&rclk=1,https://kochhar.com/?utm_source=SERP&utm_medium=Bangalore+Office&utm_id=Google+Business,,,"https://www.facebook.com/Kochharandcompany, https://www.facebook.com/Kochharandcompany, https://twitter.com/KochharAndCo, https://www.youtube.com/channel/UCW9EIAK3dcTuKhI7fvQSpsw",4.5,34,+91 80 4030 800
Lall and Sethi,https://www.google.com/maps/place/Lall+and+Sethi/data=!4m7!3m6!1s0x390ce2678e559c9d:0xe05c2cbe40fc1fb3!8m2!3d28.5679828!4d77.2172128!16s%2Fg%2F11b75hbxx_!19sChIJnZxVjmfiDDkRsx_8QL4sXOA?authuser=0&hl=en&rclk=1,http://indiaip.com/,"info@indiaip.com, srilanka@indiaip.com, nepal@indiaip.com","18-08-2016, 110 049, 91-11-4289 9999, 91-11-4289 9900, 2013-14",http://www.linkedin.com/company/lall-&-sethi-advocates?trk=top_nav_home,4.4,78,+91 11 4289 999
AZB & Partners,https://www.google.com/maps/place/AZB+%26+Partners/data=!4m7!3m6!1s0x3be7d1e8ce1378bb:0x1c5dd5804094f464!8m2!3d18.9985377!4d72.8252908!16s%2Fg%2F1vcjkqll!19sChIJu3gTzujR5zsRZPSUQIDVXRw?authuser=0&hl=en&rclk=1,http://www.azbpartners.com/,,,"https://www.linkedin.com/feed/update/urn, https://www.linkedin.com/company/azb-partners/",4.3,192,+91 22 4072 999
MAHESHWARI & CO.,https://www.google.com/maps/place/MAHESHWARI+%26+CO./data=!4m7!3m6!1s0x390ce276f4953709:0xa2834fadab32f396!8m2!3d28.5605776!4d77.1972339!16s%2Fg%2F11b6h_dsf3!19sChIJCTeV9HbiDDkRlvMyq61Pg6I?authuser=0&hl=en&rclk=1,https://www.maheshwariandco.com/,,,,4.1,135,+91 11 4601 385
